experiment_id,model_name,feature_set,target_strategy,mean_r2,fold_mean_r2_std,runtime_seconds,notes,r2_Q0_TOTAL_ASSETS,r2_Q0_TOTAL_LIABILITIES,r2_Q0_TOTAL_STOCKHOLDERS_EQUITY,r2_Q0_GROSS_PROFIT,r2_Q0_COST_OF_REVENUES,r2_Q0_REVENUES,r2_Q0_OPERATING_INCOME,r2_Q0_OPERATING_EXPENSES,r2_Q0_EBITDA
M7_accounting_postprocess,AccountingPostprocess,saved_oof_predictions,none,0.8491283658094627,0.07407458032794695,0.0,OOF-selected accounting adjustment: none.,0.7259305322109342,0.9188661828443312,0.30727956544968404,0.9836705649817499,0.9643776971140351,0.9732316430000959,0.8187370133171257,0.9874580319233894,0.9626040614438194
M6_oof_blend,OOFWeightedBlend,saved_oof_predictions,per_target_oof_blend,0.8491283658094627,0.07407458032794695,0.0,"Per-target OOF blend of B4, M3d and M4.",0.7259305322109342,0.9188661828443312,0.30727956544968404,0.9836705649817499,0.9643776971140351,0.9732316430000959,0.8187370133171257,0.9874580319233894,0.9626040614438194
M4_catboost_residual_history_metadata_engineered,CatBoostRegressor,history_metadata_engineered,residual,0.8376350970876734,0.09036382480825393,0.0,CatBoost residual; median_best_iter=100.,0.7098718155890726,0.9188661828443312,0.22026451648791856,0.9836705649817499,0.9643776971140351,0.9732316430000959,0.8187370133171257,0.9870923790109115,0.9626040614438194
B4,B4_baseline_blend,row_history_only,baseline_oof_blend,0.7830834896750798,0.1290854128624079,5.817295700000159,Per-target OOF blend of B1/B2/B3.,0.5587405683214817,0.861749312870751,-0.05296033455914251,0.9825808767600744,0.9640167055770786,0.9727981379517838,0.8117222631369777,0.9870948285268982,0.9620090484898162
B1,B1_baseline,row_history_only,direct_rule,0.7226411589483116,0.10326727793824618,5.817295700000159,Recent quarter copy baseline.,0.37171166587152094,0.6357224875711011,-0.144362062419078,0.9825808767600744,0.9614016918878225,0.97273360594969,0.7827114357191349,0.982135549293641,0.9591351799008979
M1_ridge_history_raw,Ridge,history_raw,direct,0.7206245290978716,0.25432708563960194,8.206216499999755,"Ridge with median imputation, robust scaling and one-hot categorical encoding.",0.8609414372805304,0.8844933898188556,0.5220673080205038,0.8940573439185766,0.8684510848598987,0.8792663732523339,-0.0929292576760754,0.9282378228059308,0.7410352596002894
M3d_catboost_direct_history_metadata_engineered,CatBoostRegressor,history_metadata_engineered,direct,0.6146526491749856,0.0931610686682909,553.7525233000006,CatBoost direct; median_best_iter=180.,0.6663110896078218,0.7401347393493953,0.28894061002414184,0.7383312647721187,0.8589771418674707,0.8959838372609211,0.5404908475804537,0.5280855290515423,0.2746187830610044
M3b_catboost_direct_history_industry,CatBoostRegressor,history_industry,direct,0.6130293068019381,0.09308191590766172,327.85706249999976,CatBoost direct; median_best_iter=180.,0.6707252094235368,0.7599285928318975,0.26211607990443464,0.7339249277135949,0.8542080828757097,0.8842891981946789,0.570781426866287,0.5185635224841504,0.26272672092315363
M3c_catboost_direct_history_metadata,CatBoostRegressor,history_metadata,direct,0.6083925249170272,0.09552638616833896,324.6684972999997,CatBoost direct; median_best_iter=180.,0.6739763849824987,0.748939998020965,0.2208247457430348,0.7450266222905111,0.8479441256494429,0.8891242987198571,0.5828710386460112,0.5224940863769124,0.24433142382401207
M3a_catboost_direct_history_raw,CatBoostRegressor,history_raw,direct,0.6067405937539734,0.09807563904510522,44.86934700000029,CatBoost direct; median_best_iter=180.,0.6476593988264299,0.7453204837723766,0.23811881890750541,0.7502654132494783,0.855205401580079,0.8847021367325417,0.5826107615040532,0.5109513871764206,0.2458315420368754
M2_hgb_history_raw,HistGradientBoostingRegressor,history_raw,direct,0.5992086201991941,0.10840441546864146,0.0,Sklearn nonlinear tree baseline on raw history features.,0.5270836042457729,0.6149186627681296,0.4622576973280028,0.685294191708407,0.7550864842909465,0.8351068182478308,0.5748567280200056,0.6089583742276916,0.3293150209559599
B3,B3_baseline,row_history_only,direct_rule,0.5004144967810288,0.21164809335653958,5.817295700000159,Short trend extrapolation baseline.,0.22737451606538794,0.41107539063721044,-0.1688259311915059,0.7702925947097962,0.8415691338541521,0.8005535830852916,-0.05300489681380682,0.9338463908970659,0.740849689785668
B2,B2_baseline,row_history_only,direct_rule,0.33150149143256535,0.4687596560440033,5.817295700000159,Seasonal quarter copy baseline.,0.5587405683214817,0.861749312870751,-0.06439975623387961,0.46378523916404757,0.8484451326053366,0.6616814359232217,-1.582000659085026,0.9156888062716461,0.3198233430555094
B0,B0_baseline,row_history_only,direct_rule,-0.0011596870587813582,0.003978597625882518,5.817295700000159,Mean target by train fold.,-0.0020336533230573828,-0.00038126967556717517,-0.0051281082102816455,-0.0006181129106102023,-7.974426423906777e-05,-0.0002612180827830102,-0.00031889735827550503,-0.001342504322361826,-0.0002736753818564086
